SPAN	CHARACTER	START OFFSET	END OFFSET	CHAPTER #	PASSAGE #
man	NON-CHARACTER	54	57	1	0
wife	NON-CHARACTER	112	116	1	0
man	NON-CHARACTER	172	175	1	0
families	NON-CHARACTER	282	290	1	0
he	NON-CHARACTER	297	299	1	0
one	NON-CHARACTER	344	347	1	0
other	NON-CHARACTER	351	356	1	0
daughters	NON-CHARACTER	366	375	1	0
Mr. Bennet	Mr. Bennet	387	397	1	0
lady	Mrs. Bennet	409	413	1	0
him	Mr. Bennet	417	420	1	0
you	Mr. Bennet	436	439	1	0
Mr. Bennet	Mr. Bennet	486	496	1	0
he	Mr. Bennet	510	512	1	0
she	Mrs. Bennet	545	548	1	0
Mrs. Long	Mrs. Long	555	564	1	0
she	Mrs. Long	589	592	1	0
me	Mrs. Long	598	600	1	0
Mr. Bennet	Mr. Bennet	617	627	1	0
you	Mr. Bennet	649	652	1	0
wife	Mrs. Bennet	699	703	1	0
You	Mrs. Bennet	719	722	1	0
me	Mr. Bennet	736	738	1	0
I	Mr. Bennet	744	745	1	0
dear	Mr. Bennet	819	823	1	0
you	Mr. Bennet	825	828	1	0
Mrs. Long	Mrs. Long	840	849	1	0
man	Mr. Bingley	892	895	1	0
he	Mr. Bingley	945	947	1	0
he	Mr. Bingley	1047	1049	1	0
Mr. Morris	Mr. Morris	1062	1072	1	0
he	Mr. Bingley	1091	1093	1	0
servants	servants (1)	1151	1159	1	0
Bingley	Mr. Bingley	1232	1239	1	0
he	Mr. Bingley	1247	1249	1	0
dear	Mr. Bennet	1287	1291	1	0
man	Mr. Bingley	1314	1317	1	0
girls	Jane	1392	1397	1	0
girls	Elizabeth	1392	1397	1	0
girls	Lydia	1392	1397	1	0
girls	Mary	1392	1397	1	0
girls	Kitty	1392	1397	1	0
them	Jane	1428	1432	1	14
them	Elizabeth	1428	1432	1	14
them	Lydia	1428	1432	1	14
them	Mary	1428	1432	1	14
them	Kitty	1428	1432	1	14
Mr. Bennet	Mr. Bennet	1445	1455	1	14
wife	Mrs. Bennet	1470	1474	1	14
you	Mr. Bennet	1485	1488	1	14
You	Mr. Bennet	1505	1508	1	14
I	Mrs. Bennet	1524	1525	1	14
one	NON-CHARACTER	1554	1557	1	14
them	Elizabeth	1561	1565	1	14
them	Lydia	1561	1565	1	14
them	Mary	1561	1565	1	14
them	Kitty	1561	1565	1	14
them	Jane	1561	1565	1	14
you	Mr. Bennet	1636	1639	1	14
he	Mr. Bingley	1676	1678	1	14
one	NON-CHARACTER	1701	1704	1	14
them	Elizabeth	1708	1712	1	14
them	Lydia	1708	1712	1	14
them	Mary	1708	1712	1	14
them	Kitty	1708	1712	1	14
them	Jane	1708	1712	1	14
you	Mr. Bennet	1728	1731	1	14
him	Mr. Bingley	1743	1746	1	14
he	Mr. Bingley	1758	1760	1	14
I	Mr. Bennet	1771	1772	1	14
You	Mrs. Bennet	1799	1802	1	14
girls	Lydia	1811	1816	1	14
girls	Mary	1811	1816	1	14
girls	Kitty	1811	1816	1	14
girls	Jane	1811	1816	1	14
girls	Elizabeth	1811	1816	1	14
you	Mrs. Bennet	1828	1831	1	14
them	Lydia	1841	1845	1	14
them	Mary	1841	1845	1	14
them	Kitty	1841	1845	1	14
them	Jane	1841	1845	1	14
them	Elizabeth	1841	1845	1	14
themselves	Lydia	1849	1859	1	14
themselves	Mary	1849	1859	1	14
themselves	Kitty	1849	1859	1	14
themselves	Jane	1849	1859	1	14
themselves	Elizabeth	1849	1859	1	14
you	Mrs. Bennet	1904	1907	1	14
any	Lydia	1927	1930	1	14
any	Mary	1927	1930	1	14
any	Kitty	1927	1930	1	14
any	Jane	1927	1930	1	14
any	Elizabeth	1927	1930	1	14
them	Lydia	1934	1938	1	14
them	Mary	1934	1938	1	14
them	Kitty	1934	1938	1	14
them	Jane	1934	1938	1	14
them	Elizabeth	1934	1938	1	14
Mr. Bingley	Mr. Bingley	1940	1951	1	14
you	Mrs. Bennet	1961	1964	1	14
party	Lydia	1981	1986	1	14
party	Mary	1981	1986	1	14
party	Kitty	1981	1986	1	14
party	Jane	1981	1986	1	14
party	Elizabeth	1981	1986	1	14
party	Mrs. Bennet	1981	1986	1	14
dear	Mr. Bennet	1994	1998	1	14
you	Mr. Bennet	2000	2003	1	14
me	Mrs. Bennet	2012	2014	1	14
I	Mrs. Bennet	2016	2017	1	14
I	Mrs. Bennet	2061	2062	1	14
woman	NON-CHARACTER	2119	2124	1	14
daughters	NON-CHARACTER	2143	2152	1	14
she	NON-CHARACTER	2154	2157	1	14
woman	NON-CHARACTER	2225	2230	1	14
dear	Mr. Bennet	2281	2285	1	14
you	Mr. Bennet	2287	2290	1	14
Mr. Bingley	Mr. Bingley	2314	2325	1	14
he	Mr. Bingley	2331	2333	1	14
I	Mr. Bennet	2383	2384	1	14
I	Mr. Bennet	2397	2398	1	14
you	Mrs. Bennet	2406	2409	1	14
daughters	Lydia	2432	2441	1	14
daughters	Mary	2432	2441	1	14
daughters	Kitty	2432	2441	1	14
daughters	Jane	2432	2441	1	14
daughters	Elizabeth	2432	2441	1	14
one	NON-CHARACTER	2492	2495	1	14
them	Lydia	2499	2503	1	14
them	Mary	2499	2503	1	14
them	Kitty	2499	2503	1	14
them	Jane	2499	2503	1	14
them	Elizabeth	2499	2503	1	14
Sir William	Sir William Lucas	2505	2516	1	14
Lady Lucas	Lady Lucas	2521	2531	1	14
you	Mr. Bennet	2594	2597	1	14
they	Sir William Lucas	2604	2608	1	14
they	Lady Lucas	2604	2608	1	14
newcomers	NON-CHARACTER	2618	2627	1	14
you	Mr. Bennet	2636	2639	1	14
us	Mrs. Bennet	2679	2681	1	14
us	Lydia	2679	2681	1	14
us	Mary	2679	2681	1	14
us	Kitty	2679	2681	1	14
us	Jane	2679	2681	1	14
us	Elizabeth	2679	2681	1	14
him	Mr. Bingley	2691	2694	1	14
you	Mr. Bennet	2698	2701	1	14
You	Mrs. Bennet	2713	2716	1	24
I	Mr. Bennet	2746	2747	1	24
Mr. Bingley	Mr. Bingley	2757	2768	1	24
you	Mrs. Bennet	2794	2797	1	24
I	Lydia	2803	2804	1	24
I	Mary	2803	2804	1	24
I	Jane	2803	2804	1	24
I	Elizabeth	2803	2804	1	24
I	Kitty	2803	2804	1	24
